  [QuickTest ep0 iter1000] h_mae=40.59° r_mae=26.47m SR=23.3% | step1: h_mae=40.31° r_mae=29.12m SR=22.9%
  [QuickTest ep0 iter2000] h_mae=40.38° r_mae=17.42m SR=25.3% | step1: h_mae=40.31° r_mae=29.12m SR=22.9%
  [QuickTest ep0 iter3000] h_mae=40.42° r_mae=18.22m SR=23.5% | step1: h_mae=40.31° r_mae=29.12m SR=22.9%
  [QuickTest ep0 iter4000] h_mae=40.39° r_mae=18.69m SR=20.7% | step1: h_mae=40.31° r_mae=29.12m SR=22.9%
  [QuickTest ep0 iter5000] h_mae=40.50° r_mae=17.98m SR=22.3% | step1: h_mae=40.31° r_mae=29.12m SR=22.9%
  [QuickTest ep0 iter6000] h_mae=40.47° r_mae=17.92m SR=21.9% | step1: h_mae=40.31° r_mae=29.12m SR=22.9%
  [QuickTest ep0 iter7000] h_mae=40.40° r_mae=19.94m SR=16.3% | step1: h_mae=40.31° r_mae=29.12m SR=22.9%
  [QuickTest ep0 iter8000] h_mae=40.30° r_mae=17.98m SR=21.4% | step1: h_mae=40.31° r_mae=29.12m SR=22.9%
  [QuickTest ep0 iter9000] h_mae=40.33° r_mae=17.99m SR=20.7% | step1: h_mae=40.31° r_mae=29.12m SR=22.9%
  [QuickTest ep0 iter10000] h_mae=40.29° r_mae=18.37m SR=20.1% | step1: h_mae=40.31° r_mae=29.12m SR=22.9%
  [QuickTest ep0 iter11000] h_mae=40.34° r_mae=18.52m SR=19.8% | step1: h_mae=40.31° r_mae=29.12m SR=22.9%
  [QuickTest ep0 iter12000] h_mae=40.33° r_mae=18.58m SR=20.5% | step1: h_mae=40.31° r_mae=29.12m SR=22.9%
  [QuickTest ep0 iter13000] h_mae=40.29° r_mae=17.22m SR=22.3% | step1: h_mae=40.31° r_mae=29.12m SR=22.9%
  [QuickTest ep0 iter14000] h_mae=40.28° r_mae=18.17m SR=20.2% | step1: h_mae=40.31° r_mae=29.12m SR=22.9%
  [QuickTest ep0 iter15000] h_mae=40.28° r_mae=17.92m SR=20.7% | step1: h_mae=40.31° r_mae=29.12m SR=22.9%
  [QuickTest ep0 iter16000] h_mae=40.31° r_mae=18.23m SR=21.2% | step1: h_mae=40.31° r_mae=29.12m SR=22.9%
  [QuickTest ep0 iter17000] h_mae=40.33° r_mae=17.73m SR=22.4% | step1: h_mae=40.31° r_mae=29.12m SR=22.9%
  [QuickTest ep0 iter18000] h_mae=40.39° r_mae=17.80m SR=22.2% | step1: h_mae=40.31° r_mae=29.12m SR=22.9%
  [QuickTest ep0 iter19000] h_mae=40.34° r_mae=17.74m SR=21.6% | step1: h_mae=40.31° r_mae=29.12m SR=22.9%
  [QuickTest ep0 iter20000] h_mae=40.39° r_mae=18.13m SR=20.6% | step1: h_mae=40.31° r_mae=29.12m SR=22.9%
  [QuickTest ep0 iter21000] h_mae=40.46° r_mae=17.70m SR=20.6% | step1: h_mae=40.31° r_mae=29.12m SR=22.9%
  [QuickTest ep0 iter22000] h_mae=40.33° r_mae=17.94m SR=21.2% | step1: h_mae=40.31° r_mae=29.12m SR=22.9%
  [QuickTest ep0 iter23000] h_mae=40.30° r_mae=17.49m SR=22.4% | step1: h_mae=40.31° r_mae=29.12m SR=22.9%
  [QuickTest ep0 iter24000] h_mae=40.38° r_mae=17.39m SR=23.0% | step1: h_mae=40.31° r_mae=29.12m SR=22.9%
  [QuickTest ep0 iter25000] h_mae=40.32° r_mae=17.82m SR=21.9% | step1: h_mae=40.31° r_mae=29.12m SR=22.9%
  [QuickTest ep0 iter26000] h_mae=40.37° r_mae=16.95m SR=24.1% | step1: h_mae=40.31° r_mae=29.12m SR=22.9%
  [QuickTest ep0 iter27000] h_mae=40.28° r_mae=17.28m SR=23.2% | step1: h_mae=40.31° r_mae=29.12m SR=22.9%
  [QuickTest ep0 iter28000] h_mae=40.35° r_mae=17.40m SR=22.8% | step1: h_mae=40.31° r_mae=29.12m SR=22.9%
  [QuickTest ep0 iter29000] h_mae=40.31° r_mae=17.08m SR=23.2% | step1: h_mae=40.31° r_mae=29.12m SR=22.9%
  [QuickTest ep0 iter30000] h_mae=40.35° r_mae=17.46m SR=23.6% | step1: h_mae=40.31° r_mae=29.12m SR=22.9%
